timestamp, name, pci.bus_id, driver_version, pstate, pcie.link.gen.max, pcie.link.gen.current, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2025/03/18 01:06:41.097, NVIDIA RTX A6000, 00000000:61:00.0, 535.183.01, P8, 4, 1, 36, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 01:06:41.098, NVIDIA RTX A6000, 00000000:81:00.0, 535.183.01, P8, 4, 1, 42, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 01:06:41.099, NVIDIA RTX A6000, 00000000:A1:00.0, 535.183.01, P8, 4, 1, 35, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 01:06:41.099, NVIDIA RTX A6000, 00000000:C1:00.0, 535.183.01, P8, 4, 1, 42, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 01:06:41.100, NVIDIA RTX A6000, 00000000:E1:00.0, 535.183.01, P8, 4, 1, 36, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 01:06:42.101, NVIDIA RTX A6000, 00000000:01:00.0, 535.183.01, P8, 4, 1, 45, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 01:06:42.102, NVIDIA RTX A6000, 00000000:25:00.0, 535.183.01, P8, 4, 1, 40, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 01:06:42.102, NVIDIA RTX A6000, 00000000:41:00.0, 535.183.01, P8, 4, 1, 43, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 01:06:42.103, NVIDIA RTX A6000, 00000000:61:00.0, 535.183.01, P8, 4, 1, 36, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 01:06:42.103, NVIDIA RTX A6000, 00000000:81:00.0, 535.183.01, P8, 4, 1, 42, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 01:06:42.104, NVIDIA RTX A6000, 00000000:A1:00.0, 535.183.01, P8, 4, 1, 35, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 01:06:42.105, NVIDIA RTX A6000, 00000000:C1:00.0, 535.183.01, P8, 4, 1, 41, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 01:06:42.105, NVIDIA RTX A6000, 00000000:E1:00.0, 535.183.01, P8, 4, 1, 36, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 01:06:43.106, NVIDIA RTX A6000, 00000000:01:00.0, 535.183.01, P8, 4, 1, 45, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 01:06:43.107, NVIDIA RTX A6000, 00000000:25:00.0, 535.183.01, P8, 4, 1, 40, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 01:06:43.107, NVIDIA RTX A6000, 00000000:41:00.0, 535.183.01, P8, 4, 1, 43, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 01:06:43.108, NVIDIA RTX A6000, 00000000:61:00.0, 535.183.01, P8, 4, 1, 36, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 01:06:43.108, NVIDIA RTX A6000, 00000000:81:00.0, 535.183.01, P8, 4, 1, 42, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 01:06:43.109, NVIDIA RTX A6000, 00000000:A1:00.0, 535.183.01, P8, 4, 1, 35, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 01:06:43.110, NVIDIA RTX A6000, 00000000:C1:00.0, 535.183.01, P8, 4, 1, 41, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 01:06:43.110, NVIDIA RTX A6000, 00000000:E1:00.0, 535.183.01, P8, 4, 1, 36, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 01:06:44.111, NVIDIA RTX A6000, 00000000:01:00.0, 535.183.01, P8, 4, 1, 44, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 01:06:44.111, NVIDIA RTX A6000, 00000000:25:00.0, 535.183.01, P8, 4, 1, 40, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 01:06:44.112, NVIDIA RTX A6000, 00000000:41:00.0, 535.183.01, P8, 4, 1, 43, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 01:06:44.112, NVIDIA RTX A6000, 00000000:61:00.0, 535.183.01, P8, 4, 1, 35, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 01:06:44.113, NVIDIA RTX A6000, 00000000:81:00.0, 535.183.01, P8, 4, 1, 41, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 01:06:44.113, NVIDIA RTX A6000, 00000000:A1:00.0, 535.183.01, P8, 4, 1, 35, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 01:06:44.114, NVIDIA RTX A6000, 00000000:C1:00.0, 535.183.01, P8, 4, 1, 42, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 01:06:44.115, NVIDIA RTX A6000, 00000000:E1:00.0, 535.183.01, P8, 4, 1, 36, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 01:06:45.115, NVIDIA RTX A6000, 00000000:01:00.0, 535.183.01, P8, 4, 1, 44, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 01:06:45.116, NVIDIA RTX A6000, 00000000:25:00.0, 535.183.01, P8, 4, 1, 40, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 01:06:45.117, NVIDIA RTX A6000, 00000000:41:00.0, 535.183.01, P8, 4, 1, 42, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 01:06:45.117, NVIDIA RTX A6000, 00000000:61:00.0, 535.183.01, P8, 4, 1, 35, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 01:06:45.118, NVIDIA RTX A6000, 00000000:81:00.0, 535.183.01, P8, 4, 1, 41, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 01:06:45.118, NVIDIA RTX A6000, 00000000:A1:00.0, 535.183.01, P8, 4, 1, 35, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 01:06:45.119, NVIDIA RTX A6000, 00000000:C1:00.0, 535.183.01, P8, 4, 1, 42, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 01:06:45.119, NVIDIA RTX A6000, 00000000:E1:00.0, 535.183.01, P8, 4, 1, 36, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 01:06:46.120, NVIDIA RTX A6000, 00000000:01:00.0, 535.183.01, P8, 4, 1, 44, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 01:06:46.121, NVIDIA RTX A6000, 00000000:25:00.0, 535.183.01, P8, 4, 1, 40, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 01:06:46.122, NVIDIA RTX A6000, 00000000:41:00.0, 535.183.01, P8, 4, 1, 42, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 01:06:46.122, NVIDIA RTX A6000, 00000000:61:00.0, 535.183.01, P8, 4, 1, 35, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 01:06:46.123, NVIDIA RTX A6000, 00000000:81:00.0, 535.183.01, P8, 4, 1, 41, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 01:06:46.123, NVIDIA RTX A6000, 00000000:A1:00.0, 535.183.01, P8, 4, 1, 35, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 01:06:46.124, NVIDIA RTX A6000, 00000000:C1:00.0, 535.183.01, P8, 4, 1, 41, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 01:06:46.125, NVIDIA RTX A6000, 00000000:E1:00.0, 535.183.01, P8, 4, 1, 36, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 01:06:47.125, NVIDIA RTX A6000, 00000000:01:00.0, 535.183.01, P8, 4, 1, 44, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
