Model,TP,PP,PP_Map,DTYPE,INT8_KV_Cache,Output_Lenght,Batch_Size,Latency,Memory-Pre-Run,Memory-After-Run,Time-Gen-Graph,Time-Prof
gptj-6b,1,1,28,int8,False,100,1,1.0751417477925618,6.47772216796875,6.59295654296875,181.49048948287964,19.440099239349365
gptj-6b,1,1,28,int8,False,200,1,2.156572182973226,6.47772216796875,6.65155029296875,181.49048948287964,25.089144945144653
gptj-6b,1,1,28,int8,False,50,8,0.5729680061340332,7.13787841796875,7.63592529296875,225.41519474983215,15.552064657211304
gptj-6b,1,1,28,int8,False,100,8,1.156637191772461,7.13787841796875,7.63592529296875,225.41519474983215,19.43816041946411
gptj-6b,1,1,28,int8,False,200,8,2.3580888907114663,7.13787841796875,8.06951904296875,225.41519474983215,26.953062772750854
gptj-6b,1,1,28,int8,False,50,16,0.5952619711558024,7.88787841796875,8.83319091796875,222.31390118598938,14.507490158081055
gptj-6b,1,1,28,int8,False,100,16,1.2079637845357258,7.88787841796875,8.83319091796875,222.31390118598938,18.25941038131714
gptj-6b,1,1,28,int8,False,200,16,2.512380361557007,7.88787841796875,9.70819091796875,222.31390118598938,25.760607481002808
gptj-6b,1,1,28,int8,False,50,32,0.6380279858907064,9.38787841796875,11.23944091796875,207.72169470787048,16.742287397384644
gptj-6b,1,1,28,int8,False,100,32,1.3015391826629639,9.38787841796875,11.23944091796875,207.72169470787048,22.20770502090454
gptj-6b,1,1,28,int8,False,200,32,2.7882165908813477,9.38787841796875,12.98944091796875,207.72169470787048,30.950874090194702
gptj-6b,1,1,28,int8,False,50,64,0.7590142091115316,12.38201904296875,16.02850341796875,206.0032079219818,15.271838188171387
gptj-6b,1,1,28,int8,False,100,64,1.5699445406595867,12.38201904296875,16.02850341796875,206.0032079219818,20.374163150787354
gptj-6b,1,1,28,int8,False,200,64,3.502549648284912,12.38201904296875,19.52850341796875,206.0032079219818,31.66738533973694
gptj-6b,1,1,28,int4,False,50,1,0.3376094500223796,3.85272216796875,3.96795654296875,192.92368340492249,10.829829931259155
gptj-6b,1,1,28,int4,False,100,1,0.6785914103190104,3.85272216796875,3.96795654296875,192.92368340492249,13.164362907409668
gptj-6b,1,1,28,int4,False,200,1,1.349312384923299,3.85272216796875,4.02655029296875,192.92368340492249,17.069982051849365
gptj-6b,1,1,28,int4,False,50,8,0.3787064552307129,4.51287841796875,5.01092529296875,237.55039143562317,13.358973264694214
gptj-6b,1,1,28,int4,False,100,8,0.7645272413889567,4.51287841796875,5.01092529296875,237.55039143562317,15.855687379837036
gptj-6b,1,1,28,int4,False,200,8,1.5839691956837971,4.51287841796875,5.44451904296875,237.55039143562317,20.61186671257019
gptj-6b,1,1,28,int4,False,50,16,0.4043891429901123,5.26287841796875,6.20819091796875,235.93678164482117,11.504672288894653
gptj-6b,1,1,28,int4,False,100,16,0.8239945570627848,5.26287841796875,6.20819091796875,235.93678164482117,14.152757167816162
gptj-6b,1,1,28,int4,False,200,16,1.7352649370829265,5.26287841796875,7.08319091796875,235.93678164482117,19.517916440963745
gptj-6b,1,1,28,int4,False,50,32,0.44673792521158856,6.76287841796875,8.61444091796875,238.4003324508667,13.660889625549316
gptj-6b,1,1,28,int4,False,100,32,0.9161017735799154,6.76287841796875,8.61444091796875,238.4003324508667,16.56101965904236
gptj-6b,1,1,28,int4,False,200,32,2.013510306676229,6.76287841796875,10.36444091796875,238.4003324508667,23.057193994522095
gptj-6b,1,1,28,int4,False,50,64,0.6688563028971354,9.75701904296875,13.40350341796875,240.99258852005005,15.07469892501831
gptj-6b,1,1,28,int4,False,100,64,1.3807988166809082,9.75701904296875,13.40350341796875,240.99258852005005,19.474779844284058
gptj-6b,1,1,28,int4,False,200,64,3.1202662785847983,9.75701904296875,16.90350341796875,240.99258852005005,29.824235439300537
gptj-6b,1,2,14 14,float16,False,50,1,0.949852466583252,12.4652099609375,12.7679443359375,151.81152606010437,20.009778022766113
gptj-6b,1,2,14 14,float16,False,100,1,1.9035061995188396,12.4652099609375,12.7679443359375,151.81152606010437,27.53841805458069
gptj-6b,1,2,14 14,float16,False,200,1,3.8056559562683105,12.4652099609375,12.8070068359375,151.81152606010437,38.50189995765686
gptj-6b,1,2,14 14,float16,False,50,8,0.9622487227121989,13.7659912109375,14.4320068359375,155.62451887130737,19.442938089370728
gptj-6b,1,2,14 14,float16,False,100,8,1.9376551310221355,13.7659912109375,14.4476318359375,155.62451887130737,25.59764337539673
gptj-6b,1,2,14 14,float16,False,200,8,3.9253341356913247,13.7659912109375,14.8656005859375,155.62451887130737,37.20838522911072
gptj-6b,1,2,14 14,float16,False,50,16,0.9945646127065023,15.2659912109375,16.3792724609375,153.49706983566284,19.03013563156128
gptj-6b,1,2,14 14,float16,False,100,16,2.0136121114095054,15.2659912109375,16.4105224609375,153.49706983566284,25.153552770614624
gptj-6b,1,2,14 14,float16,False,200,16,4.136921723683675,15.2659912109375,17.2542724609375,153.49706983566284,37.53239965438843
gptj-6b,1,2,14 14,float16,False,50,32,1.0531713962554932,20.2659912109375,22.2855224609375,130.89264798164368,19.061803102493286
gptj-6b,1,2,14 14,float16,False,100,32,2.164123058319092,20.2659912109375,22.9105224609375,130.89264798164368,26.133784532546997
gptj-6b,1,2,14 14,float16,False,200,32,4.512163480122884,20.2659912109375,24.1605224609375,130.89264798164368,39.73518705368042
gptj-6b,1,2,14 14,float16,False,50,64,1.1626924673716228,24.2601318359375,28.0745849609375,133.30767440795898,21.54176950454712
gptj-6b,1,2,14 14,float16,False,100,64,2.3862010637919107,24.2601318359375,28.0745849609375,133.30767440795898,29.22446370124817
gptj-6b,1,2,14 14,float16,False,200,64,5.149219671885173,24.2601318359375,31.5745849609375,133.30767440795898,45.42741131782532
gptj-6b,1,2,14 14,int8,False,50,1,0.5203228791554769,7.2152099609375,7.5120849609375,202.7070472240448,15.548760414123535
gptj-6b,1,2,14 14,int8,False,100,1,1.0407809416453044,7.2152099609375,7.5120849609375,202.7070472240448,18.493870496749878
gptj-6b,1,2,14 14,int8,False,200,1,2.08145538965861,7.2152099609375,7.5511474609375,202.7070472240448,24.790469884872437
gptj-6b,1,2,14 14,int8,False,50,8,0.5510036945343018,8.5159912109375,9.1761474609375,224.90061044692993,16.04646062850952
gptj-6b,1,2,14 14,int8,False,100,8,1.1116244792938232,8.5159912109375,9.1917724609375,224.90061044692993,18.87565779685974
gptj-6b,1,2,14 14,int8,False,200,8,2.2803760369618735,8.5159912109375,9.6409912109375,224.90061044692993,25.674055814743042
gptj-6b,1,2,14 14,int8,False,50,16,0.5785074234008789,10.0159912109375,11.1234130859375,221.84630370140076,14.558042049407959
gptj-6b,1,2,14 14,int8,False,100,16,1.1736477216084797,10.0159912109375,11.1234130859375,221.84630370140076,18.210789442062378
gptj-6b,1,2,14 14,int8,False,200,16,2.4609436988830566,10.0159912109375,11.9984130859375,221.84630370140076,25.849663019180298
gptj-6b,1,2,14 14,int8,False,50,32,0.6151689688364664,13.0159912109375,15.0296630859375,218.72030401229858,14.774467706680298
gptj-6b,1,2,14 14,int8,False,100,32,1.286512851715088,13.0159912109375,15.0296630859375,218.72030401229858,18.988874912261963
gptj-6b,1,2,14 14,int8,False,200,32,2.7610771656036377,13.0159912109375,17.0296630859375,218.72030401229858,27.514446020126343
gptj-6b,1,2,14 14,int8,False,50,64,0.7513216336568197,19.0101318359375,22.8187255859375,248.55215072631836,16.430952072143555
gptj-6b,1,2,14 14,int8,False,100,64,1.5563368797302246,19.0101318359375,23.1937255859375,248.55215072631836,22.08303475379944
gptj-6b,1,2,14 14,int8,False,200,64,3.478680690129598,19.0101318359375,26.3187255859375,248.55215072631836,33.56604981422424
gptj-6b,1,2,14 14,int4,False,50,1,0.31957117716471356,4.5902099609375,4.8870849609375,218.00662875175476,12.25246548652649
gptj-6b,1,2,14 14,int4,False,100,1,0.6402715047200521,4.5902099609375,4.8870849609375,218.00662875175476,13.904703140258789
gptj-6b,1,2,14 14,int4,False,200,1,1.2880569299062092,4.5902099609375,4.9456787109375,218.00662875175476,17.80594038963318
gptj-6b,1,2,14 14,int4,False,50,8,0.35805384318033856,5.8909912109375,6.5511474609375,243.96864366531372,12.824662446975708
gptj-6b,1,2,14 14,int4,False,100,8,0.7223869959513346,5.8909912109375,6.5511474609375,243.96864366531372,15.360860586166382
gptj-6b,1,2,14 14,int4,False,200,8,1.4968440532684326,5.8909912109375,7.0159912109375,243.96864366531372,19.618600368499756
gptj-6b,1,2,14 14,int4,False,50,16,0.3845401604970296,7.3909912109375,8.4984130859375,242.06367874145508,12.26503300666809
gptj-6b,1,2,14 14,int4,False,100,16,0.7824808756510416,7.3909912109375,8.4984130859375,242.06367874145508,14.889160394668579
gptj-6b,1,2,14 14,int4,False,200,16,1.6750285625457764,7.3909912109375,9.3734130859375,242.06367874145508,20.430492639541626
