Model,TP,PP,PP_Map,DTYPE,INT8_KV_Cache,Output_Lenght,Batch_Size,Latency,Memory-Pre-Run,Memory-After-Run,Time-Gen-Fingerprint,Time-Gen-Graph,Time-Prof
falcon-7b,1,1,2,int8,False,20,2,0.04149580001831055,2.01483154296875,2.08709716796875,0,66.61295247077942,8.66750979423523
falcon-7b,1,1,1,int4,False,10,1,0.01594201723734538,1.63006591796875,1.68280029296875,0,58.298564195632935,7.454154014587402
falcon-7b,1,1,1,int4,False,20,1,0.03087019920349121,1.63006591796875,1.68280029296875,0,58.298564195632935,7.462770462036133
falcon-7b,1,1,2,int4,False,10,1,0.01814444859822591,1.72576904296875,1.77850341796875,0,65.8247594833374,8.142650127410889
falcon-7b,1,1,2,int4,False,20,1,0.03523023923238119,1.72576904296875,1.77850341796875,0,65.8247594833374,8.342806100845337
falcon-7b,1,1,1,int4,False,10,2,0.016228596369425457,1.72576904296875,1.79803466796875,0,61.47535681724548,7.50944972038269
falcon-7b,1,1,1,int4,False,20,2,0.03146775563557943,1.72576904296875,1.79803466796875,0,61.47535681724548,7.427277326583862
falcon-7b,1,1,2,int4,False,10,2,0.018567721048990887,1.82147216796875,1.89373779296875,0,65.8854079246521,7.534583330154419
falcon-7b,1,1,2,int4,False,20,2,0.036003828048706055,1.82147216796875,1.89373779296875,0,65.8854079246521,7.5793843269348145
falcon-7b,1,2,1 1,float16,False,10,1,0.02777258555094401,3.0238037109375,3.2386474609375,0,79.64141321182251,10.17862343788147
falcon-7b,1,2,1 1,float16,False,20,1,0.05492218335469564,3.0238037109375,3.2386474609375,0,79.64141321182251,10.136208057403564
falcon-7b,1,2,2 1,float16,False,10,1,0.0345145066579183,3.4593505859375,3.6331787109375,26.261821031570435,82.02903032302856,10.458402395248413
falcon-7b,1,2,2 1,float16,False,20,1,0.06726471583048503,3.4593505859375,3.6331787109375,26.261821031570435,82.02903032302856,10.357478857040405
falcon-7b,1,2,1 1,float16,False,10,2,0.028029998143513996,3.2152099609375,3.4495849609375,0,80.93115663528442,9.830019235610962
