Model,TP,PP,PP_Map,DTYPE,INT8_KV_Cache,Output_Lenght,Batch_Size,Latency,Memory-Pre-Run,Memory-After-Run,Time-Gen-Fingerprint,Time-Gen-Graph,Time-Prof
falcon-7b,1,4,1 1 1 1,float16,False,20,1,0.09768263498942058,5.889404296875,6.276123046875,0,123.49887323379517,16.56101131439209
falcon-7b,1,4,2 1 1 1,float16,False,10,1,0.06528027852376302,6.283935546875,6.670654296875,22.40832257270813,127.92345595359802,16.743690252304077
falcon-7b,1,4,2 1 1 1,float16,False,20,1,0.1124730110168457,6.283935546875,6.670654296875,22.40832257270813,127.92345595359802,17.093989610671997
falcon-7b,1,4,1 1 1 1,int8,False,10,1,0.04443097114562988,5.115966796875,5.485107421875,0,135.35616207122803,15.839576005935669
falcon-7b,1,4,1 1 1 1,int8,False,20,1,0.0732424259185791,5.115966796875,5.485107421875,0,135.35616207122803,16.05843997001648
falcon-7b,1,4,2 1 1 1,int8,False,10,1,0.050000270207722984,5.309326171875,5.678466796875,0,139.8993625640869,16.294280529022217
falcon-7b,1,4,2 1 1 1,int8,False,20,1,0.08129199345906575,5.309326171875,5.678466796875,0,139.8993625640869,16.357279777526855
falcon-7b,1,4,1 1 1 1,int4,False,10,1,0.04044055938720703,4.733154296875,5.102294921875,0,138.89845776557922,15.817230463027954
falcon-7b,1,4,1 1 1 1,int4,False,20,1,0.06296833356221516,4.733154296875,5.102294921875,0,138.89845776557922,16.099391222000122
falcon-7b,1,4,2 1 1 1,int4,False,10,1,0.04368917147318522,4.828857421875,5.197998046875,0,143.5766544342041,16.02169370651245
falcon-7b,1,4,2 1 1 1,int4,False,20,1,0.06721862157185872,4.828857421875,5.197998046875,0,143.5766544342041,16.142449378967285
falcon-7b,1,5,1 1 1 1 1,float16,False,10,1,0.06943472226460774,6.61907958984375,7.09173583984375,0,146.3582820892334,17.58301091194153
falcon-7b,1,5,1 1 1 1 1,float16,False,20,1,0.11764796574910481,6.57806396484375,7.09173583984375,0,146.3582820892334,17.980974197387695
