Model,TP,PP,PP_Map,DTYPE,INT8_KV_Cache,Output_Lenght,Batch_Size,Latency,Memory-Pre-Run,Memory-After-Run,Time-Gen-Graph,Time-Prof
llama-2-7b,4,1,32,float16,True,10,1,0.401464303334554,16.153076171875,19.8779296875,144.75108408927917,18.618042707443237
llama-2-7b,4,1,32,float16,True,20,1,0.49544374148050946,16.153076171875,19.8779296875,144.75108408927917,19.314547061920166
llama-2-7b,4,1,32,float16,True,50,1,0.7667214870452881,16.28387451171875,19.8779296875,144.75108408927917,20.574336767196655
llama-2-7b,4,1,32,float16,True,100,1,1.2365153630574544,16.153076171875,19.8779296875,144.75108408927917,23.418538570404053
llama-2-7b,4,1,32,float16,True,200,1,2.1553515593210855,16.272216796875,19.8779296875,144.75108408927917,29.0668888092041
llama-2-7b,4,1,32,int8,False,10,1,0.3685311476389567,10.129638671875,14.0888671875,131.40586376190186,17.39137887954712
llama-2-7b,4,1,32,int8,False,20,1,0.4304803212483724,10.129638671875,14.0888671875,131.40586376190186,17.40288758277893
llama-2-7b,4,1,32,int8,False,50,1,0.618416945139567,10.129638671875,14.0888671875,131.40586376190186,19.023521423339844
llama-2-7b,4,1,32,int8,False,100,1,0.9312139352162679,10.129638671875,14.0888671875,131.40586376190186,20.29972243309021
llama-2-7b,4,1,32,int8,False,200,1,1.5618631839752197,10.129638671875,14.1669921875,131.40586376190186,24.46435809135437
llama-2-7b,4,1,32,int8,True,10,1,0.3659044901529948,10.114013671875,13.8310546875,285.1492807865143,17.34251070022583
llama-2-7b,4,1,32,int8,True,20,1,0.42569994926452637,10.114013671875,13.8310546875,285.1492807865143,17.993286848068237
llama-2-7b,4,1,32,int8,True,50,1,0.6210576693216959,10.114013671875,13.8310546875,285.1492807865143,19.25279927253723
llama-2-7b,4,1,32,int8,True,100,1,0.9389928181966146,10.114013671875,13.8310546875,285.1492807865143,20.922598361968994
llama-2-7b,4,1,32,int8,True,200,1,1.581575632095337,10.114013671875,13.8310546875,285.1492807865143,24.18685269355774
llama-2-7b,4,1,32,int4,False,10,1,0.35625338554382324,7.090576171875,11.1982421875,161.96435475349426,16.418870210647583
llama-2-7b,4,1,32,int4,False,20,1,0.4076886971791585,7.090576171875,11.3935546875,161.96435475349426,16.745506525039673
llama-2-7b,4,1,32,int4,False,50,1,0.563826322555542,7.090576171875,11.2763671875,161.96435475349426,17.792818784713745
llama-2-7b,4,1,32,int4,False,100,1,0.8161661624908447,7.405029296875,11.0400390625,161.96435475349426,18.501546621322632
llama-2-7b,4,1,32,int4,False,200,1,1.3187053203582764,7.424560546875,11.2373046875,161.96435475349426,21.31800866127014
llama-2-7b,4,1,32,int4,True,10,1,0.3537478446960449,7.176513671875,10.9111328125,319.5070550441742,16.292760610580444
llama-2-7b,4,1,32,int4,True,20,1,0.40668511390686035,7.098388671875,10.9912109375,319.5070550441742,16.636813640594482
