timestamp, name, pci.bus_id, driver_version, pstate, pcie.link.gen.max, pcie.link.gen.current, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2025/03/18 02:15:41.408, NVIDIA RTX A6000, 00000000:A1:00.0, 535.183.01, P8, 4, 1, 38, 0 %, 0 %, 49140 MiB, 47316 MiB, 1360 MiB
2025/03/18 02:15:41.408, NVIDIA RTX A6000, 00000000:C1:00.0, 535.183.01, P8, 4, 1, 43, 0 %, 0 %, 49140 MiB, 47316 MiB, 1360 MiB
2025/03/18 02:15:41.409, NVIDIA RTX A6000, 00000000:E1:00.0, 535.183.01, P8, 4, 1, 39, 0 %, 0 %, 49140 MiB, 47316 MiB, 1360 MiB
2025/03/18 02:15:42.410, NVIDIA RTX A6000, 00000000:01:00.0, 535.183.01, P2, 4, 4, 49, 7 %, 1 %, 49140 MiB, 47234 MiB, 1442 MiB
2025/03/18 02:15:42.410, NVIDIA RTX A6000, 00000000:25:00.0, 535.183.01, P2, 4, 4, 47, 6 %, 1 %, 49140 MiB, 47234 MiB, 1442 MiB
2025/03/18 02:15:42.411, NVIDIA RTX A6000, 00000000:41:00.0, 535.183.01, P8, 4, 1, 44, 0 %, 0 %, 49140 MiB, 47316 MiB, 1360 MiB
2025/03/18 02:15:42.412, NVIDIA RTX A6000, 00000000:61:00.0, 535.183.01, P8, 4, 1, 39, 0 %, 0 %, 49140 MiB, 47316 MiB, 1360 MiB
2025/03/18 02:15:42.412, NVIDIA RTX A6000, 00000000:81:00.0, 535.183.01, P8, 4, 1, 42, 1 %, 0 %, 49140 MiB, 47316 MiB, 1360 MiB
2025/03/18 02:15:42.413, NVIDIA RTX A6000, 00000000:A1:00.0, 535.183.01, P8, 4, 1, 38, 0 %, 0 %, 49140 MiB, 47316 MiB, 1360 MiB
2025/03/18 02:15:42.413, NVIDIA RTX A6000, 00000000:C1:00.0, 535.183.01, P8, 4, 1, 42, 0 %, 0 %, 49140 MiB, 47316 MiB, 1360 MiB
2025/03/18 02:15:42.414, NVIDIA RTX A6000, 00000000:E1:00.0, 535.183.01, P8, 4, 1, 38, 0 %, 0 %, 49140 MiB, 47316 MiB, 1360 MiB
2025/03/18 02:15:43.415, NVIDIA RTX A6000, 00000000:01:00.0, 535.183.01, P2, 4, 4, 49, 8 %, 1 %, 49140 MiB, 47234 MiB, 1442 MiB
2025/03/18 02:15:43.415, NVIDIA RTX A6000, 00000000:25:00.0, 535.183.01, P2, 4, 4, 47, 4 %, 1 %, 49140 MiB, 47234 MiB, 1442 MiB
2025/03/18 02:15:43.416, NVIDIA RTX A6000, 00000000:41:00.0, 535.183.01, P8, 4, 1, 44, 0 %, 0 %, 49140 MiB, 47316 MiB, 1360 MiB
2025/03/18 02:15:43.417, NVIDIA RTX A6000, 00000000:61:00.0, 535.183.01, P8, 4, 1, 39, 0 %, 0 %, 49140 MiB, 47316 MiB, 1360 MiB
2025/03/18 02:15:43.420, NVIDIA RTX A6000, 00000000:81:00.0, 535.183.01, P8, 4, 1, 42, 0 %, 0 %, 49140 MiB, 47316 MiB, 1360 MiB
2025/03/18 02:15:43.420, NVIDIA RTX A6000, 00000000:A1:00.0, 535.183.01, P8, 4, 1, 38, 0 %, 0 %, 49140 MiB, 47316 MiB, 1360 MiB
2025/03/18 02:15:43.421, NVIDIA RTX A6000, 00000000:C1:00.0, 535.183.01, P8, 4, 1, 42, 0 %, 0 %, 49140 MiB, 47316 MiB, 1360 MiB
2025/03/18 02:15:43.421, NVIDIA RTX A6000, 00000000:E1:00.0, 535.183.01, P8, 4, 1, 38, 0 %, 0 %, 49140 MiB, 47316 MiB, 1360 MiB
2025/03/18 02:15:44.422, NVIDIA RTX A6000, 00000000:01:00.0, 535.183.01, P2, 4, 4, 49, 4 %, 1 %, 49140 MiB, 47234 MiB, 1442 MiB
2025/03/18 02:15:44.423, NVIDIA RTX A6000, 00000000:25:00.0, 535.183.01, P2, 4, 4, 48, 7 %, 2 %, 49140 MiB, 47234 MiB, 1442 MiB
2025/03/18 02:15:44.424, NVIDIA RTX A6000, 00000000:41:00.0, 535.183.01, P8, 4, 1, 44, 0 %, 0 %, 49140 MiB, 47316 MiB, 1360 MiB
2025/03/18 02:15:44.425, NVIDIA RTX A6000, 00000000:61:00.0, 535.183.01, P8, 4, 1, 39, 0 %, 0 %, 49140 MiB, 47316 MiB, 1360 MiB
2025/03/18 02:15:44.425, NVIDIA RTX A6000, 00000000:81:00.0, 535.183.01, P8, 4, 1, 42, 0 %, 0 %, 49140 MiB, 47316 MiB, 1360 MiB
2025/03/18 02:15:44.426, NVIDIA RTX A6000, 00000000:A1:00.0, 535.183.01, P8, 4, 1, 38, 0 %, 0 %, 49140 MiB, 47316 MiB, 1360 MiB
2025/03/18 02:15:44.427, NVIDIA RTX A6000, 00000000:C1:00.0, 535.183.01, P8, 4, 1, 42, 0 %, 0 %, 49140 MiB, 47316 MiB, 1360 MiB
2025/03/18 02:15:44.427, NVIDIA RTX A6000, 00000000:E1:00.0, 535.183.01, P8, 4, 1, 38, 0 %, 0 %, 49140 MiB, 47316 MiB, 1360 MiB
2025/03/18 02:15:45.428, NVIDIA RTX A6000, 00000000:01:00.0, 535.183.01, P2, 4, 4, 49, 8 %, 2 %, 49140 MiB, 47234 MiB, 1442 MiB
2025/03/18 02:15:45.429, NVIDIA RTX A6000, 00000000:25:00.0, 535.183.01, P2, 4, 4, 47, 6 %, 1 %, 49140 MiB, 47234 MiB, 1442 MiB
2025/03/18 02:15:45.429, NVIDIA RTX A6000, 00000000:41:00.0, 535.183.01, P8, 4, 1, 44, 0 %, 0 %, 49140 MiB, 47316 MiB, 1360 MiB
