time_stats.emb.min,time_stats.emb.max,time_stats.emb.mean,time_stats.emb.median,time_stats.emb.std,time_stats.input_layernorm.min,time_stats.input_layernorm.max,time_stats.input_layernorm.mean,time_stats.input_layernorm.median,time_stats.input_layernorm.std,time_stats.attn_pre_proj.min,time_stats.attn_pre_proj.max,time_stats.attn_pre_proj.mean,time_stats.attn_pre_proj.median,time_stats.attn_pre_proj.std,time_stats.attn_rope.min,time_stats.attn_rope.max,time_stats.attn_rope.mean,time_stats.attn_rope.median,time_stats.attn_rope.std,time_stats.attn_post_proj.min,time_stats.attn_post_proj.max,time_stats.attn_post_proj.mean,time_stats.attn_post_proj.median,time_stats.attn_post_proj.std,time_stats.post_attention_layernorm.min,time_stats.post_attention_layernorm.max,time_stats.post_attention_layernorm.mean,time_stats.post_attention_layernorm.median,time_stats.post_attention_layernorm.std,time_stats.mlp_up_proj.min,time_stats.mlp_up_proj.max,time_stats.mlp_up_proj.mean,time_stats.mlp_up_proj.median,time_stats.mlp_up_proj.std,time_stats.mlp_act.min,time_stats.mlp_act.max,time_stats.mlp_act.mean,time_stats.mlp_act.median,time_stats.mlp_act.std,time_stats.mlp_down_proj.min,time_stats.mlp_down_proj.max,time_stats.mlp_down_proj.mean,time_stats.mlp_down_proj.median,time_stats.mlp_down_proj.std,time_stats.add.min,time_stats.add.max,time_stats.add.mean,time_stats.add.median,time_stats.add.std,n_head,n_kv_head,n_embd,n_expanded_embd,vocab_size,use_gated_mlp,num_tokens,num_tensor_parallel_workers
0.033,0.034,0.03395238095238096,0.034,0.00021295885499998017,0.031,0.032,0.03155000000000001,0.032,0.0004974937185533104,0.121,0.122,0.12104999999999999,0.121,0.00021794494717703385,0.005,0.005,0.005000000000000001,0.005,8.673617379884035e-19,0.042,0.044,0.04305000000000001,0.043000000000000003,0.00038405728739342903,0.032,0.032,0.03200000000000001,0.032,6.938893903907228e-18,0.183,0.184,0.18375000000000002,0.184,0.0004330127018922198,0.014,0.015,0.014900000000000002,0.015,0.00029999999999999976,0.09,0.091,0.09005,0.09,0.00021794494717703385,0.028,0.028,0.028000000000000004,0.028,3.469446951953614e-18,32,32,4096,11008,32768,True,792,8
0.033,0.034,0.03395238095238096,0.034,0.00021295885499998017,0.031,0.032,0.03125000000000001,0.031,0.00043301270189221973,0.121,0.123,0.12129999999999999,0.121,0.0005567764362830027,0.005,0.006,0.005200000000000001,0.005,0.00039999999999999996,0.042,0.044,0.04265000000000001,0.043000000000000003,0.0005722761571129796,0.032,0.032,0.03200000000000001,0.032,6.938893903907228e-18,0.182,0.183,0.18289999999999998,0.183,0.00030000000000000024,0.014,0.015,0.014400000000000001,0.014,0.0004898979485566351,0.089,0.09,0.08980000000000002,0.09,0.00040000000000000034,0.027,0.028,0.027600000000000003,0.028,0.0004898979485566361,32,32,4096,11008,32768,True,784,8
0.033,0.034,0.033476190476190486,0.033,0.0004994327848429298,0.031,0.032,0.031100000000000006,0.031,0.00030000000000000024,0.12,0.121,0.12084999999999999,0.121,0.0003570714214271428,0.005,0.005,0.005000000000000001,0.005,8.673617379884035e-19,0.042,0.043000000000000003,0.04270000000000001,0.043000000000000003,0.0004582575694955844,0.032,0.032,0.03200000000000001,0.032,6.938893903907228e-18,0.182,0.183,0.18234999999999998,0.182,0.0004769696007084732,0.014,0.014,0.014000000000000002,0.014,1.734723475976807e-18,0.089,0.09,0.08909999999999998,0.089,0.00030000000000000024,0.027,0.028,0.02715,0.027,0.0003570714214271428,32,32,4096,11008,32768,True,776,8
0.033,0.034,0.033476190476190486,0.033,0.0004994327848429298,0.031,0.031,0.031000000000000007,0.031,6.938893903907228e-18,0.116,0.117,0.1169,0.117,0.00030000000000000024,0.004,0.004,0.004000000000000001,0.004,8.673617379884035e-19,0.037,0.038,0.03730000000000001,0.037,0.0004582575694955844,0.032,0.032,0.03200000000000001,0.032,6.938893903907228e-18,0.231,0.232,0.23120000000000002,0.231,0.0004000000000000003,0.014,0.014,0.014000000000000002,0.014,1.734723475976807e-18,0.089,0.09,0.08985000000000001,0.09,0.00035707142142714284,0.027,0.028,0.02705,0.027,0.0002179449471770339,32,32,4096,11008,32768,True,768,8
0.033,0.033,0.03300000000000001,0.033,6.938893903907228e-18,0.031,0.031,0.031000000000000007,0.031,6.938893903907228e-18,0.116,0.117,0.11605000000000001,0.116,0.00021794494717703388,0.004,0.004,0.004000000000000001,0.004,8.673617379884035e-19,0.037,0.037,0.037000000000000005,0.037,6.938893903907228e-18,0.032,0.032,0.03200000000000001,0.032,6.938893903907228e-18,0.231,0.232,0.23175000000000004,0.232,0.0004330127018922198,0.014,0.014,0.014000000000000002,0.014,1.734723475976807e-18,0.09,0.091,0.0901,0.09,0.00030000000000000024,0.026000000000000002,0.027,0.02695000000000001,0.027,0.00021794494717703315,32,32,4096,11008,32768,True,760,8
0.032,0.033,0.03295238095238096,0.033,0.00021295885499998017,0.028,0.029,0.028300000000000002,0.028,0.0004582575694955844,0.116,0.117,0.11625,0.116,0.00043301270189221973,0.004,0.004,0.004000000000000001,0.004,8.673617379884035e-19,0.037,0.038,0.037500000000000006,0.0375,0.0005000000000000004,0.029,0.03,0.029900000000000003,0.03,0.00029999999999999927,0.232,0.233,0.23235,0.232,0.0004769696007084732,0.014,0.014,0.014000000000000002,0.014,1.734723475976807e-18,0.09,0.091,0.09045,0.09,0.0004974937185533104,0.026000000000000002,0.027,0.026500000000000006,0.026500000000000003,0.0004999999999999987,32,32,4096,11008,32768,True,752,8
0.032,0.033,0.032714285714285724,0.033,0.00045175395145262605,0.028,0.029,0.028500000000000004,0.0285,0.0005000000000000004,0.116,0.117,0.11620000000000001,0.116,0.00040000000000000034,0.004,0.004,0.004000000000000001,0.004,8.673617379884035e-19,0.037,0.037,0.037000000000000005,0.037,6.938893903907228e-18,0.029,0.03,0.029500000000000005,0.0295,0.0004999999999999987,0.231,0.233,0.23155,0.2315,0.0005894913061275802,0.013000000000000001,0.014,0.013950000000000004,0.014,0.00021794494717703353,0.089,0.09,0.08995,0.09,0.00021794494717703385,0.026000000000000002,0.027,0.026050000000000007,0.026000000000000002,0.00021794494717703312,32,32,4096,11008,32768,True,744,8
0.032,0.033,0.0320952380952381,0.032,0.0002935435239509039,0.028,0.029,0.028100000000000003,0.028,0.00030000000000000024,0.116,0.117,0.11605000000000003,0.116,0.00021794494717703385,0.004,0.004,0.004000000000000001,0.004,8.673617379884035e-19,0.037,0.037,0.037000000000000005,0.037,6.938893903907228e-18,0.029,0.03,0.029300000000000003,0.029,0.0004582575694955828,0.23,0.232,0.23095,0.231,0.00038405728739343076,0.013000000000000001,0.014,0.013500000000000003,0.013500000000000002,0.0004999999999999995,0.089,0.09,0.0896,0.09,0.0004898979485566361,0.026000000000000002,0.026000000000000002,0.026000000000000006,0.026000000000000002,3.469446951953614e-18,32,32,4096,11008,32768,True,736,8
0.031,0.032,0.03157142857142858,0.032,0.0004948716593053939,0.029,0.029,0.029000000000000005,0.029,3.469446951953614e-18,0.116,0.117,0.11630000000000003,0.116,0.0004582575694955844,0.004,0.004,0.004000000000000001,0.004,8.673617379884035e-19,0.036000000000000004,0.037,0.03685000000000001,0.037,0.00035707142142714035,0.029,0.03,0.029050000000000003,0.029,0.00021794494717703315,0.231,0.232,0.23195000000000005,0.232,0.00021794494717703388,0.013000000000000001,0.013000000000000001,0.013000000000000003,0.013000000000000001,1.734723475976807e-18,0.089,0.09,0.0895,0.0895,0.0005000000000000004,0.025,0.026000000000000002,0.025750000000000006,0.026000000000000002,0.0004330127018922198,32,32,4096,11008,32768,True,728,8
0.031,0.032,0.031190476190476196,0.031,0.0003926767262493013,0.028,0.029,0.028200000000000003,0.028,0.00040000000000000034,0.116,0.117,0.11665,0.117,0.00047696960070847314,0.004,0.004,0.004000000000000001,0.004,8.673617379884035e-19,0.036000000000000004,0.036000000000000004,0.03600000000000001,0.036000000000000004,6.938893903907228e-18,0.029,0.03,0.029050000000000003,0.029,0.00021794494717703315,0.23,0.231,0.23075,0.231,0.0004330127018922198,0.013000000000000001,0.014,0.013050000000000003,0.013000000000000001,0.00021794494717703353,0.089,0.09,0.0897,0.09,0.0004582575694955844,0.025,0.026000000000000002,0.025200000000000007,0.025,0.0004000000000000003,32,32,4096,11008,32768,True,720,8
0.031,0.032,0.031047619047619053,0.031,0.00021295885499998015,0.028,0.029,0.02815,0.028,0.0003570714214271428,0.115,0.117,0.11590000000000003,0.116,0.0004358898943540677,0.004,0.004,0.004000000000000001,0.004,8.673617379884035e-19,0.036000000000000004,0.037,0.03615000000000001,0.036000000000000004,0.0003570714214271404,0.029,0.029,0.029000000000000005,0.029,3.469446951953614e-18,0.231,0.232,0.2311,0.231,0.00030000000000000024,0.013000000000000001,0.013000000000000001,0.013000000000000003,0.013000000000000001,1.734723475976807e-18,0.101,0.10200000000000001,0.10145000000000001,0.101,0.0004974937185533104,0.025,0.026000000000000002,0.025250000000000005,0.025,0.00043301270189221973,32,32,4096,11008,32768,True,712,8
0.03,0.031,0.030761904761904768,0.031,0.0004259177099999603,0.028,0.028,0.028000000000000004,0.028,3.469446951953614e-18,0.116,0.117,0.11610000000000002,0.116,0.00030000000000000024,0.004,0.004,0.004000000000000001,0.004,8.673617379884035e-19,0.036000000000000004,0.037,0.03605000000000001,0.036000000000000004,0.00021794494717703236,0.029,0.029,0.029000000000000005,0.029,3.469446951953614e-18,0.229,0.232,0.2305,0.2305,0.0008062257748298557,0.013000000000000001,0.013000000000000001,0.013000000000000003,0.013000000000000001,1.734723475976807e-18,0.101,0.101,0.101,0.101,0.0,0.025,0.025,0.025000000000000005,0.025,3.469446951953614e-18,32,32,4096,11008,32768,True,704,8
