Model,TP,PP,PP_Map,DTYPE,INT8_KV_Cache,Output_Lenght,Batch_Size,Latency,Memory-Pre-Run,Memory-After-Run,Time-Gen-Graph,Time-Prof
falcon-40b,1,4,10 14 16 20,float16,False,100,16,12.957428137461344,94.781982421875,95.524169921875,621.9767966270447,112.10351943969727
falcon-40b,1,4,15 15 15 15,float16,False,100,32,13.311954657236734,105.451904296875,106.477294921875,599.4331409931183,112.12970924377441
falcon-40b,1,4,10 10 20 20,float16,False,100,32,13.32730746269226,104.748779296875,106.031982421875,617.9273700714111,115.28176736831665
falcon-40b,1,4,10 14 16 20,float16,False,100,32,13.35978658994039,105.750732421875,106.936279296875,570.4290509223938,115.31260824203491
falcon-40b,1,4,15 15 15 15,float16,False,100,64,14.410086790720621,133.248779296875,134.781982421875,551.725462436676,127.21490931510925
falcon-40b,1,4,10 10 20 20,float16,False,100,64,14.433954159418741,137.244873046875,138.951904296875,642.81893491745,120.64151811599731
falcon-40b,1,4,10 14 16 20,float16,False,100,64,14.42966365814209,133.246826171875,134.764404296875,652.9098377227783,120.09010481834412
gptj-6b,1,4,7 7 7 7,float16,False,100,1,1.9000012079874675,14.565185546875,15.137451171875,225.74399280548096,29.454415559768677
gptj-6b,1,4,5 5 9 9,float16,False,100,1,1.9070262908935547,14.506591796875,15.098388671875,198.78583908081055,28.758612632751465
gptj-6b,1,4,3 5 8 12,float16,False,100,1,1.9184306462605794,14.504638671875,15.115966796875,199.4586136341095,28.770872354507446
gptj-6b,1,4,7 7 7 7,float16,False,100,8,1.937785228093465,17.342529296875,18.293701171875,193.61283111572266,30.321955680847168
gptj-6b,1,4,5 5 9 9,float16,False,100,8,1.946015993754069,17.088623046875,18.071044921875,202.24505591392517,29.39963388442993
gptj-6b,1,4,3 5 8 12,float16,False,100,8,1.957104762395223,17.524169921875,18.475341796875,202.57430028915405,29.52461576461792
gptj-6b,1,4,7 7 7 7,float16,False,100,16,2.0180837313334146,21.092529296875,22.506591796875,224.670428276062,30.13053584098816
gptj-6b,1,4,5 5 9 9,float16,False,100,16,2.0195189317067466,20.088623046875,21.502685546875,200.27406096458435,29.871755123138428
gptj-6b,1,4,3 5 8 12,float16,False,100,16,2.0396129290262857,20.461669921875,21.844482421875,219.98186111450195,29.650652170181274
gptj-6b,1,4,7 7 7 7,float16,False,100,32,2.1695938110351562,31.572998046875,33.381591796875,200.14878702163696,30.968282222747803
gptj-6b,1,4,5 5 9 9,float16,False,100,32,2.1743690967559814,30.838623046875,33.252685546875,225.5012972354889,30.665497064590454
gptj-6b,1,4,3 5 8 12,float16,False,100,32,2.1835272312164307,29.836669921875,32.188232421875,204.16430568695068,30.27241349220276
gptj-6b,1,4,7 7 7 7,float16,False,100,64,2.3968752225240073,40.086669921875,44.170654296875,217.8591194152832,32.52144432067871
gptj-6b,1,4,5 5 9 9,float16,False,100,64,2.402916193008423,40.082763671875,44.166748046875,197.1306767463684,31.991066217422485
gptj-6b,1,4,3 5 8 12,float16,False,100,64,2.4169534047444663,39.580810546875,43.664794921875,206.4291968345642,31.728911638259888
